"","V1"
"1005","FBgn0020416"
"1006","FBgn0026415"
"1007","FBgn0064237"
"1008","FBgn0015037"
"1009","FBgn0031693"
"1010","FBgn0031694"
"1011","FBgn0031695"
"1012","FBgn0033395"
"1013","FBgn0033397"
"1014","FBgn0015038"
"1015","FBgn0015039"
"1016","FBgn0015040"
"1017","FBgn0033775"
"1018","FBgn0038034"
"1019","FBgn0038037"
"1020","FBgn0020637"
"1021","FBgn0020638"
"1022","FBgn0020639"
"1023","FBgn0020640"
"1024","FBgn0085300"
"1025","FBgn0086611"
"1026","FBgn0025454"
"1027","FBgn0031126"
"1028","FBgn0031182"
"1029","FBgn0033065"
"1030","FBgn0033696"
"1031","FBgn0033697"
"1032","FBgn0025583"
"1033","FBgn0034329"
"1034","FBgn0034330"
"1035","FBgn0040733"
"1036","FBgn0040734"
"1037","FBgn0040736"
"1038","FBgn0026386"
"1039","FBgn0029521"
"1040","FBgn0030204"
"1041","FBgn0033404"
"1042","FBgn0039582"
"1043","FBgn0041621"
"1044","FBgn0026570"
"1045","FBgn0026593"
"1046","FBgn0035309"
"1047","FBgn0035312"
"1048","FBgn0037070"
"1049","FBgn0037071"
"1050","FBgn0027611"
"1051","FBgn0032066"
"1052","FBgn0032067"
"1053","FBgn0032068"
"1054","FBgn0032069"
"1055","FBgn0032253"
"1056","FBgn0028886"
"1057","FBgn0029762"
"1058","FBgn0033443"
"1059","FBgn0033708"
"1060","FBgn0034381"
"1061","FBgn0035969"
"1062","FBgn0028940"
"1063","FBgn0030339"
"1064","FBgn0031432"
"1065","FBgn0031688"
"1066","FBgn0031689"
"1067","FBgn0041337"
"1068","FBgn0030200"
"1069","FBgn0030221"
"1070","FBgn0052670"
"1071","FBgn0052671"
"1072","FBgn0052673"
"1073","FBgn0067052"
"1074","FBgn0031184"
"1075","FBgn0031974"
"1076","FBgn0032668"
"1077","FBgn0032669"
"1078","FBgn0032670"
"1079","FBgn0054010"
"1080","FBgn0031834"
"1081","FBgn0032047"
"1082","FBgn0032377"
"1083","FBgn0032878"
"1084","FBgn0050466"
"1085","FBgn0051633"
"1086","FBgn0033498"
"1087","FBgn0052391"
"1088","FBgn0054030"
"1089","FBgn0085344"
"1090","FBgn0260776"
"1091","FBgn0260777"
"1092","FBgn0035776"
"1093","FBgn0035779"
"1094","FBgn0035780"
"1095","FBgn0035781"
"1096","FBgn0035791"
"1097","FBgn0052379"
"1098","FBgn0036226"
"1099","FBgn0036227"
"1100","FBgn0036940"
"1101","FBgn0039453"
"1102","FBgn0051077"
"1103","FBgn0264488"
"1104","FBgn0036783"
"1105","FBgn0053194"
"1106","FBgn0261290"
"1107","FBgn0261291"
"1108","FBgn0262594"
"1109","FBgn0262595"
"1110","FBgn0041235"
"1111","FBgn0041236"
"1112","FBgn0045485"
"1113","FBgn0045486"
"1114","FBgn0045487"
"1115","FBgn0045502"
"1116","FBgn0041249"
"1117","FBgn0045497"
"1118","FBgn0045498"
"1119","FBgn0045500"
"1120","FBgn0045501"
"1121","FBgn0265138"
"1122","FBgn0053664"
"1123","FBgn0053665"
"1124","FBgn0053666"
"1125","FBgn0053667"
"1126","FBgn0053668"
"1127","FBgn0053669"
"1128","FBgn0000533"
"1129","FBgn0019929"
"1130","FBgn0027930"
"1131","FBgn0038250"
"1132","FBgn0039102"
"1133","FBgn0002869"
"1134","FBgn0038790"
"1135","FBgn0053192"
"1136","FBgn0262146"
"1137","FBgn0262858"
"1138","FBgn0003132"
"1139","FBgn0004103"
"1140","FBgn0005778"
"1141","FBgn0046698"
"1142","FBgn0261399"
"1143","FBgn0003450"
"1144","FBgn0030051"
"1145","FBgn0037222"
"1146","FBgn0038113"
"1147","FBgn0038114"
"1148","FBgn0004240"
"1149","FBgn0012042"
"1150","FBgn0034407"
"1151","FBgn0041579"
