"","V1"
"1404","TC003895"
"1405","TC011236"
"1406","TC013745"
"1407","TC031445"
"1408","TC033255"
"1409","TC033823"
"1410","TC033998"
"1411","TC034796"
"1412","TC002576"
"1413","TC002577"
"1414","TC002578"
"1415","TC002579"
"1416","TC002580"
"1417","TC002634"
"1418","TC006778"
"1419","TC007830"
"1420","TC031263"
"1421","TC032575"
"1422","TC034174"
"1423","TC005908"
"1424","TC006246"
"1425","TC006247"
"1426","TC014930"
"1427","TC015099"
"1428","TC015130"
"1429","TC015579"
"1430","TC015580"
"1431","TC015779"
"1432","TC015780"
"1433","TC016372"
"1434","TC030232"
"1435","TC030233"
"1436","TC030234"
"1437","TC030235"
"1438","TC030236"
"1439","TC030237"
"1440","TC030238"
"1441","TC030239"
"1442","TC030250"
"1443","TC030266"
"1444","TC031355"
"1445","TC000008"
"1446","TC004166"
"1447","TC005127"
"1448","TC005291"
"1449","TC006864"
"1450","TC008512"
"1451","TC008525"
"1452","TC009945"
"1453","TC010282"
"1454","TC016143"
"1455","TC000096"
"1456","TC000141"
"1457","TC001399"
"1458","TC001716"
"1459","TC002313"
"1460","TC003906"
"1461","TC008586"
"1462","TC010556"
"1463","TC012921"
"1464","TC016164"
"1465","TC000444"
"1466","TC001358"
"1467","TC001562"
"1468","TC003122"
"1469","TC003123"
"1470","TC003124"
"1471","TC003125"
"1472","TC003333"
"1473","TC009649"
"1474","TC032153"
"1475","TC001496"
"1476","TC004046"
"1477","TC005055"
"1478","TC009398"
"1479","TC009404"
"1480","TC011485"
"1481","TC012976"
"1482","TC030984"
"1483","TC031666"
"1484","TC032708"
"1485","TC001849"
"1486","TC008546"
"1487","TC011505"
"1488","TC012337"
"1489","TC012338"
"1490","TC031933"
"1491","TC032884"
"1492","TC033643"
"1493","TC033931"
"1494","TC034911"
"1495","TC002383"
"1496","TC004178"
